commune,lat,lon
Pont-de-Salars,44.2789,2.7300
Rodez,44.3506,2.5731
Onet-le-Château,44.3653,2.5628
Luc-la-Primaube,44.2919,2.5417
Flavin,44.2778,2.5906
Baraqueville,44.2783,2.4358
Naucelle,44.1981,2.3419
Cassagnes-Bégonhès,44.1786,2.6183
Réquista,44.0328,2.5389
Salles-Curan,44.1839,2.7856
Arvieu,44.1922,2.6939
Sévérac d'Aveyron,44.3253,3.0664
Laissac-Sévérac l'Église,44.3800,2.8200
Bozouls,44.4719,2.7231
Espalion,44.5217,2.7628
Millau,44.0994,3.0781
Saint-Affrique,43.9564,2.8872
Rignac,44.3006,2.2942
Marcillac-Vallon,44.4756,2.4644
Villefranche-de-Panat,44.1103,2.7550
