commune,lat,lon
Villemoirieu,45.7192,5.2431
Crémieu,45.7231,5.2508
Pont-de-Chéruy,45.7508,5.1725
Charvieu-Chavagneux,45.7517,5.1489
Tignieu-Jameyzieu,45.7419,5.1633
Chavanoz,45.7639,5.1631
Loyettes,45.7772,5.2439
Montalieu-Vercieu,45.7897,5.4008
Morestel,45.6786,5.4658
Les Avenières,45.6197,5.5556
Saint-Chef,45.6669,5.3706
La Tour-du-Pin,45.5661,5.4447
Bourgoin-Jallieu,45.5858,5.2739
L'Isle-d'Abeau,45.6206,5.2264
Villefontaine,45.6136,5.1503
La Verpillière,45.6339,5.1481
Saint-Quentin-Fallavier,45.6428,5.1092
Heyrieux,45.6314,5.0603
Le Grand-Lemps,45.3986,5.4247
Vienne,45.5253,4.8744
Lyon,45.7578,4.8320
Villeurbanne,45.7719,4.8902
Vaulx-en-Velin,45.7768,4.9186
Décines-Charpieu,45.7694,4.9603
Meyzieu,45.7667,5.0033
Chassieu,45.7439,4.9700
Bron,45.7333,4.9119
Saint-Priest,45.6969,4.9439
Genas,45.7269,5.0033
Pusignan,45.7333,5.0500
Jonage,45.7942,5.0450
Miribel,45.8264,4.9539
Montluel,45.8511,5.0575
Meximieux,45.9083,5.1928
Pérouges,45.9061,5.1783
Lagnieu,45.9058,5.3489
Ambérieu-en-Bugey,45.9583,5.3547
Saint-Vulbas,45.8083,5.2672
